TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"North Texas",93.056230239764,96.302243935392,0.40268058270452,10–20,10,30,46.2,48.1,28.6,30.5,23.3,23.9,30.4,37.4,68,47,48.2,29.4,31.9,8.6,6,51.8,52.4,28.1,32.6,67.7,,,,2023,,,,-15.360800114901,66,71.5
Nevada,91.940436038969,97.116158804349,0.34755165074774,9–21,9,30,44,49.3,30.8,30.4,21.9,21,31.3,29.7,69.1,42.8,49.2,31.4,32.9,6.3,8.8,46.7,47.6,28.2,32.1,69.5,,,,2023,,,,-16.983049776779,72.4,74.8
UTSA,92.851237485286,91.914583342338,0.52911639208727,13–19,13,32,44.7,45.5,27.2,35.9,25.7,20.8,37.6,29,70,45.8,43.4,27.9,32.5,12.9,7,53.9,58.2,27.9,40.5,70.1,,,,2023,,,,-14.238491506935,73.1,72.3
Hartford,61.474113530821,110.00089710127,0.0012398403326842,0–26,0,26,32,49.9,21.7,26.7,23.2,23.7,22.1,40,70.6,32.2,50.5,21.1,32.6,6.4,9.5,48,62.7,38.3,35,69.8,,,,2023,,,,-24.105175525235,63.2,67.4
"Mississippi Valley St.",74.020055909371,111.44298563665,0.0089639854730295,2–27,2,29,39.2,50.3,28.6,30.3,26.5,21.1,26.4,38.6,73.8,38.1,49.4,27.8,34.9,6.9,6.6,54.3,57.1,30.2,32.8,72.5,,,,2023,,,,-23.517214740114,59.9,67.7
"Gardner Webb",98.646803890926,99.872224554988,0.46456538177187,29–4,29,33,49.6,47.6,32.9,33.7,20.9,29.5,36.4,32.9,73.5,48.8,48.5,34.2,30.4,8.3,7.2,43.4,48,34.8,28.2,73.5,,,,2023,,,,-1.9798820044551,69.8,70.5
"Prairie View A&M",80.704997448917,94.738703133411,0.13661378562752,12–15,12,27,40.5,46.2,38.7,43,23.6,24.9,27.1,33.5,75.2,38.7,48.7,28.9,26.9,4.9,8.1,54.1,50.8,37.5,30.4,74.5,,,,2023,,,,-11.886623605791,65.9,62.5
Chattanooga,89.362619825844,87.970662744115,0.54501268904886,18–12,18,30,47.2,43.6,30.1,25.5,22.3,20.3,23.7,23,63.4,46.7,42.4,32,31.2,6.5,11,51.6,38.8,34.2,27.7,64.6,,,,2023,,,,-8.9075876434827,77,72.4
"Georgia Southern",95.810873625854,98.604946936292,0.41810184810472,17–8,17,25,47.3,44.3,33.9,30.5,22,19.6,37.4,30.2,76.1,45.6,42.3,34.2,32.2,6.5,5.9,52.2,51.5,29.5,34.2,74.8,,,,2023,,,,-6.9033813189113,66.1,65.7
"Northern Arizona",96.826456743601,93.057349148752,0.61220718853258,20–13,20,33,46.3,45.7,26.5,35.7,19.9,20.6,31.3,28.4,74.1,44.9,45,32.4,31.4,6.3,7.6,54.7,46.4,37.6,30.3,74.9,,,,2023,,,,-8.0310308866225,71.3,71.4
Nebraska,102.70168817774,82.028880873867,0.92987086430461,16–14,16,30,48,44.7,28.3,28.9,21.8,20.8,32.1,24.9,71.5,46.9,43.2,33,31.9,8.4,8.4,62.9,54.6,41,31.9,70.4,,,,2023,,,,-1.0368437865322,71.3,70.1
Yale,88.403238137202,92.210189693035,0.38110434342069,13–14,13,27,41.8,46.1,26.7,37,25.5,23.2,35.4,31.3,68.7,40.1,46.7,30.3,29.8,7.5,8.1,53.7,49.9,32.7,29.8,68.9,,,,2023,,,,-9.1929688086426,66,70.3
"Tennessee Martin",89.058726230833,97.569645551532,0.25929998938913,13–17,13,30,47.1,49.7,29.8,34.1,24.5,27.8,26.7,32.1,69.2,46.9,50.3,31.5,32.4,8.4,9,54.7,62.6,37.3,36.1,68.7,,,,2023,,,,-14.63011036075,78.7,70.5
"Morehead St.",79.940117173401,103.35895753958,0.049515008082699,9–20,9,29,42.3,47.9,24.6,31.8,25.7,24.9,29.4,35.4,69.4,44.7,47.2,25.7,33.1,5.8,8.8,52.7,57.5,39.5,29.3,68.7,,,,2023,,,,-17.359343453188,60.8,74.9
Tennessee,114.25361449125,80.746025450912,0.98186815304379,23–11,23,34,48.8,43.9,32.4,26.8,21.2,19.8,40.2,28,72.6,49.6,42.3,31.1,31.6,8.2,6.8,56.1,51.9,26.6,30.5,72,,,,2023,,,,5.616733429869,71.5,73
