TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
Chattanooga,105.91691483998,100.23585634786,0.65339213855891,27–5,27,32,51.8,49.8,42,30.8,17.9,20.3,32.4,28.9,67.4,50.4,50,36.1,33,13.4,10.9,55.7,49.7,37.1,36.3,67.1,,,,2016,,,,0.55223776804566,73.3,67.1
"Georgia Southern",103.6705543276,108.90701698904,0.3620037361571,12–17,12,29,47.5,51.8,37.7,44.5,16.2,20,29.7,34.5,70.1,45.6,52.5,33.3,33.8,7,12.2,42.8,49.3,43.9,40.7,69.5,,,,2016,,,,-11.251269547588,71,69.2
"Northern Arizona",92.901023583211,112.76824279516,0.09720256089893,3–25,3,28,45.2,56.2,36.1,34.3,18.1,17.5,22.3,29.6,71.1,42.3,53.9,33.4,39.9,4.7,9.8,52.4,53.7,37,37.7,71.2,,,,2016,,,,-18.629630380982,70.2,72.7
Nebraska,109.2446151683,100.34943919885,0.7264543554216,16–18,16,34,50.3,50.1,32.6,39.7,17.4,19.7,31.8,28.1,67.2,49.4,47.5,34.7,36.7,9.3,9.5,45,53.6,32.1,34,68.2,,,,2016,,,,-5.4625804176035,73,71.9
Yale,108.19604729964,95.275998964092,0.81190243367829,21–6,21,27,52.5,46.3,42.1,33.8,20.1,18.2,39.2,24,67,51.1,45.5,37.1,31.8,12.6,9.3,57.6,49.6,30.8,34.4,66.8,,,,2016,,,,0.096848749800174,66.7,69.4
"Tennessee Martin",102.23574704525,108.72940055502,0.33000119389767,17–14,17,31,50.3,50.8,35.8,30.5,18.5,17.3,30.1,29.5,66.8,50,50.7,33.9,34,5.5,8.5,47.2,56.5,39.4,43,67.3,,,,2016,,,,-8.8860895982548,71.5,70
"Morehead St.",103.2580047086,102.05959904789,0.53351188535024,17–12,17,29,48.1,50.2,35,52.2,19.4,21.4,39.5,29.1,66,45.1,48.7,37.5,35.2,7.5,10.3,54,50.6,26.8,35.8,65.6,,,,2016,,,,-6.2707853211002,69.1,71.8
Tennessee,110.59988870706,102.1723958537,0.71329918259609,15–19,15,34,48,48.5,34.1,37.3,15.8,17.3,32.1,34.5,70.9,47.4,47.1,32.7,34.2,11.5,8.9,51.5,53.2,36.2,34.9,70,,,,2016,,,,-5.8295202440495,72.5,69.1
"Texas St.",98.128057801542,102.82943641212,0.36861090245197,13–16,13,29,46.6,49.6,37.7,35.6,17.8,20.8,29.8,30.6,64.7,46,47.9,32.1,35.1,8.5,7.8,50.5,49.6,26.6,35,64.2,,,,2016,,,,-10.904881532827,67.5,70.4
"Jackson St.",94.044623268269,100.80237534074,0.31045047108692,17–15,17,32,45.2,45.2,31.2,48.6,17.8,20.6,32.9,28.3,68.3,45.4,44.1,30,31.5,10.3,9.7,49.5,50.7,34.8,35,68.6,,,,2016,,,,-10.616154242514,62.9,69.2
Mississippi,110.56001494123,101.08346352656,0.73702006921325,20–12,20,32,48.1,49.7,41.3,40.7,17.1,20.1,34.6,31.1,70,46.5,47.4,33.8,35.5,8.9,11.7,51.8,58.9,38.9,38.5,69.4,,,,2016,,,,-1.4017057417856,70.9,67.4
Wyoming,107.20098366435,106.90131430831,0.50804732665536,12–18,12,30,53.4,50.1,45.9,39.1,17,15.8,18.1,30.4,66.2,50.8,48.4,37.2,35.4,7.4,10,53.9,47.9,52.9,36.8,65.5,,,,2016,,,,-10.431428907792,71.4,69.8
