TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
Davidson,105.33372222222,109.5385,0.38932786297416,0–3,0,3,44.4,61.6,35.4,15.9,15,19.1,22.6,36,64.6,43.5,58.1,30.4,43.3,5.8,19.6,52.5,65.2,42.9,51.1,67.9,,,,2024,,,,-0.97817429001082,75.4,71.4
"Missouri St.",118.35549502488,109.97770522388,0.69936453123289,1–1,1,2,50.9,57.9,24.6,33.6,13,14.6,29.9,32.8,61.6,45.7,57.4,42.4,39.1,8.2,6.2,56.9,64.2,28.9,43,62.8,,,,2024,,,,0.42203796726706,67.9,77.8
Vanderbilt,101.17826196181,101.65738884997,0.48642099026326,0–8,0,8,41.7,55.3,36.7,30.2,16.4,15.9,25.9,32.9,69.4,44.3,53.7,25.1,38.3,7.8,12.9,34.3,64.3,38.4,42.3,66.7,,,,2024,,,,-2.351905695089,67.8,68.7
"Washington St.",108.47863125,92.715162083333,0.85884666813206,2–3,2,5,45.6,47.9,27.5,38.6,18.8,15.5,33.3,30.8,67.2,47.6,48.3,27.1,31.3,10.6,8.1,49.6,57.9,28.8,28.6,64.9,,,,2024,,,,0.4798975837156,71.6,69.6
Memphis,122.74883333333,92.492166666667,0.96284118720681,1–0,1,1,56.7,43.8,55.8,37.5,22.5,16.9,36.7,38.1,71.1,53.3,61.3,40.9,18.2,6.5,3.3,60,52,42.3,51.6,72.7,,,,2024,,,,0.67745355223869,75.9,79.2
"Murray St.",125.925,119.83208333333,0.63884229261448,0–2,0,2,56,69.6,28.2,62,13.5,16.6,27,22.5,66.4,48.7,71.2,46.3,45,0,9.2,42.9,60,35,43.5,65.2,,,,2024,,,,-0.67430884495926,81.8,80.7
American,112.76954314721,122.5847715736,0.2769282824228,0–1,0,1,41.1,62.7,25.8,32.2,16.5,10.5,27.9,34.5,66.8,37.5,68.8,30,37,6.3,6.3,71.4,59.4,48.4,45.8,71,,,,2024,,,,-0.32108477107606,75,84.2
"Notre Dame",94.919377685981,97.498296155541,0.42353442841155,0–6,0,6,40.2,52.7,26.9,31.7,20.5,16.1,28.8,31.4,67.3,44.7,52.6,22.8,35.2,9.5,13.2,39.7,55.9,42.4,40.2,66.9,,,,2024,,,,-1.4541667561234,71.7,72.3
Creighton,121.59585703794,92.143657322563,0.96043994419291,7–3,7,10,53.8,45.5,22.7,17.2,15.2,10.9,24.9,32.7,66.6,56.4,48,34.1,26,10.4,11.5,58.9,41,49.8,27.7,66.4,,,,2024,,,,3.9512911832224,78.3,78.2
Duke,126.15295710784,98.41918504902,0.9455756715873,4–4,4,8,54.5,52.3,30.8,27.8,15.4,16.3,31.6,32.1,67.3,55.6,49.5,35.2,39,8.5,11.5,47.5,47.3,38.3,30.7,66.6,,,,2024,,,,1.2905502300264,77.8,70.5
"Indiana St.",120.07525,110.51316666667,0.72198224010235,0–2,0,2,58.2,57.2,39.1,43.2,18.6,15.9,18.8,42,72.5,57.1,50.6,39.3,47.5,2.4,24.5,48.1,43.5,55.5,32,71.3,,,,2024,,,,-0.47510086158064,62.8,85.2
UCLA,110.29580331451,101.41706911361,0.72414801190677,0–7,0,7,45.2,52,29.6,44.6,17,13.8,23.7,35.3,65.4,43.3,52.9,32.8,34.1,11,8,41.6,51.1,31.7,46.8,64.4,,,,2024,,,,-2.107975131257,76.3,71.6
Pacific,96.208155338831,108.13534255876,0.20685318002231,0–5,0,5,38.1,61.6,30.5,33.4,17.1,14.7,16.8,39.6,66.7,37.6,64.4,26.1,37.4,5.7,14.4,45.1,44.4,32.7,33.8,68.3,,,,2024,,,,-1.6992875121735,68.3,72.4
"Texas A&M",118.25029391988,97.399021090128,0.90298624575151,4–5,4,9,44.4,52.5,37,35,15.8,16.4,38.6,32,70.5,45.7,51.8,28.2,35.5,7.3,15.9,40.7,63,38,44.9,68.9,,,,2024,,,,1.6158862257381,70.6,70.7
"North Texas",92.219166666667,81.512583333333,0.80521637941388,0–2,0,2,41.1,46.4,28.6,45.9,25.2,26,39.4,28.6,67.4,40.8,43.4,27.8,33.3,7.5,14.5,34.1,63.2,32.1,45.9,67.2,,,,2024,,,,-0.72050026936675,75,68.9
Nevada,114.25030314594,102.45997660089,0.77774502484768,2–2,2,4,49,54.5,43.8,46.9,16.6,16.6,22.1,32.3,66.2,44,57.5,37.6,33.3,11,12.8,48.3,54.5,40.5,39.8,66,,,,2024,,,,0.69888431413758,66.3,70.7
"Mississippi Valley St.",84.312203857005,110.73620811438,0.041679261164647,0–4,0,4,37.9,65,25.2,42.3,27.2,14.5,29.9,39.5,67,37.7,67.2,25.5,41.4,2.3,9.6,38.7,70.1,22,43.6,67.4,,,,2024,,,,-0.86234781522111,57.4,65.6
